Date,Envasado-Raev100,Envasado-Riesgo
2024-01-29,9.2,muy alto
2024-02-05,9.8,muy alto
2024-02-12,8.7,muy alto
2024-02-19,10.2,muy alto
2024-02-26,9.4,muy alto
2024-03-04,9.4,muy alto
2024-03-11,9.7,muy alto
2024-03-18,10.0,muy alto
2024-03-25,10.1,muy alto
2024-04-01,9.1,muy alto
2024-04-08,9.1,muy alto
2024-04-15,9.9,muy alto
2024-04-22,9.7,muy alto
2024-04-29,11.0,muy alto
2024-05-06,10.5,muy alto
2024-05-13,11.2,muy alto
2024-05-20,11.0,muy alto
2024-05-27,10.4,muy alto
2024-06-03,10.5,muy alto
2024-06-10,10.8,muy alto
2024-06-17,10.7,muy alto
2024-06-24,11.6,muy alto
2024-07-01,11.6,muy alto
2024-07-08,11.1,muy alto
2024-07-15,11.1,muy alto
2024-07-22,10.0,muy alto
2024-07-29,8.7,muy alto
2024-08-05,8.8,muy alto
2024-08-12,8.9,muy alto
2024-08-19,9.1,muy alto
2024-08-26,8.4,alto
2024-09-02,7.9,alto
2024-09-09,8.1,alto
2024-09-16,9.3,muy alto
2024-09-23,8.8,muy alto
2024-09-30,7.8,alto
2024-10-07,7.4,alto
2024-10-14,7.5,alto
2024-10-21,6.9,alto
2024-10-28,8.0,alto
2024-11-04,6.2,medio
2024-11-11,7.1,alto
2024-11-18,6.5,medio
2024-11-25,5.7,medio
2024-12-02,5.5,medio
2024-12-09,5.7,medio
2024-12-16,5.4,medio
2024-12-23,6.2,medio
2024-12-30,6.7,alto
2025-01-06,5.4,medio
2025-01-13,6.0,medio
2025-01-20,6.5,medio
