Date,Granel-Raev100,Granel-Riesgo
2024-01-29,8.2,alto
2024-02-05,7.7,alto
2024-02-12,7.7,alto
2024-02-19,7.8,alto
2024-02-26,7.8,alto
2024-03-04,7.4,alto
2024-03-11,7.5,alto
2024-03-18,7.8,alto
2024-03-25,7.2,alto
2024-04-01,8.0,alto
2024-04-08,6.9,alto
2024-04-15,7.9,alto
2024-04-22,7.5,alto
2024-04-29,8.5,alto
2024-05-06,8.4,alto
2024-05-13,8.9,muy alto
2024-05-20,8.5,alto
2024-05-27,8.4,alto
2024-06-03,8.4,alto
2024-06-10,8.2,alto
2024-06-17,7.4,alto
2024-06-24,7.9,alto
2024-07-01,8.3,alto
2024-07-08,8.3,alto
2024-07-15,9.1,muy alto
2024-07-22,7.7,alto
2024-07-29,7.7,alto
2024-08-05,8.5,alto
2024-08-12,8.2,alto
2024-08-19,7.8,alto
2024-08-26,7.7,alto
2024-09-02,6.9,alto
2024-09-09,7.9,alto
2024-09-16,8.9,muy alto
2024-09-23,6.8,alto
2024-09-30,6.3,medio
2024-10-07,6.5,medio
2024-10-14,6.0,medio
2024-10-21,6.1,medio
2024-10-28,6.3,medio
2024-11-04,6.1,medio
2024-11-11,6.8,alto
2024-11-18,6.3,medio
2024-11-25,5.8,medio
2024-12-02,5.8,medio
2024-12-09,5.4,medio
2024-12-16,6.1,medio
2024-12-23,6.3,medio
2024-12-30,6.2,medio
2025-01-06,5.6,medio
2025-01-13,5.7,medio
2025-01-20,5.8,medio
