Codigo,raev100,dev
GR5076,0.0,0
GR5045,0.8,0
GR5028,2.7,7
GR5122,2.9,11
GR5016,3.3,12
GR5151,3.5,36
GR5102,3.8,21
GR5130,3.9,13
GR5123,4.1,18
GR5041,4.3,22
GR5138,4.3,23
GR1626,4.6,71
GR5042,4.7,34
GR5150,4.9,40
GR5099,5.2,31
GR5012,5.3,23
GR5062,5.5,16
GR5125,5.9,42
GR5038,6.2,30
GR5058,6.2,9
GR1559,6.3,101
GR5014,6.8,33
GR5063,6.9,73
GR5085,7.2,7
GR5090,7.2,6
GR5040,7.5,41
GR1637,8.0,75
GR5043,8.4,49
GR5121,9.1,54
GR5034,9.3,42
GR5082,10.0,30
GR5011,10.2,96
GR5120,10.2,68
GR5050,10.3,113
GR5024,10.5,65
GR5027,10.8,81
GR5060,11.7,29
GR5061,12.2,60
GR5023,13.7,119
GR5017,15.8,68
GR5054,19.3,77
GR5100,,0
