Date,Transferencia-Raev100,Transferencia-Riesgo
2024-01-22,11.7,muy alto
2024-01-29,6.3,medio
2024-02-05,6.7,medio
2024-02-12,6.4,medio
2024-02-19,6.0,bajo
2024-02-26,11.2,muy alto
2024-03-04,6.6,medio
2024-03-11,8.8,alto
2024-03-18,7.3,medio
2024-03-25,8.0,medio
2024-04-01,9.4,alto
2024-04-08,9.1,alto
2024-04-15,7.0,medio
2024-04-22,6.7,medio
2024-04-29,6.6,medio
2024-05-06,7.4,medio
2024-05-13,6.5,medio
2024-05-20,5.6,bajo
2024-05-27,5.9,bajo
2024-06-03,5.4,bajo
2024-06-10,6.4,medio
2024-06-17,7.0,medio
2024-06-24,8.0,medio
2024-07-01,8.5,alto
2024-07-08,9.8,alto
2024-07-15,8.4,alto
2024-07-22,7.6,medio
2024-07-29,6.9,medio
2024-08-05,7.2,medio
2024-08-12,7.1,medio
2024-08-19,5.8,bajo
2024-08-26,4.8,bajo
2024-09-02,5.0,bajo
2024-09-09,4.7,bajo
2024-09-16,5.3,bajo
2024-09-23,5.0,bajo
2024-09-30,5.2,bajo
2024-10-07,4.9,bajo
2024-10-14,5.5,bajo
2024-10-21,5.5,bajo
2024-10-28,5.9,bajo
2024-11-04,5.6,bajo
2024-11-11,5.6,bajo
2024-11-18,6.4,medio
2024-11-25,6.2,medio
2024-12-02,7.2,medio
2024-12-09,7.7,medio
2024-12-16,5.6,bajo
2024-12-23,7.0,medio
2024-12-30,7.3,medio
2025-01-06,5.8,bajo
2025-01-13,7.1,medio
2025-01-20,5.3,bajo
