Oficina,raev100,dev,Riesgo
Santiago,11.9,119,muy alto
Punta Arenas,11.7,143,muy alto
Chillan,8.7,138,alto
Maipu,7.6,2532,medio
Antofagasta,6.7,352,medio
Arica,6.7,86,medio
San Fernando,6.4,571,medio
Temuco,6.4,632,medio
Iquique,6.3,66,medio
Lenga,6.2,1381,medio
Villarrica,5.7,230,bajo
Puerto Montt,5.5,193,bajo
Peñon,5.4,662,bajo
Linares,5.0,101,bajo
Concon,4.8,675,bajo
Talca,4.6,362,bajo
Valdivia,4.5,120,bajo
Copiapo,4.5,104,bajo
Los Angeles,4.2,144,bajo
Chiloe,3.2,76,bajo
Osorno,3.1,216,bajo
Coyhaique,2.9,83,bajo
Curico,2.2,11,bajo
