Oficina-Codigo,raev100,dev,Riesgo
Peñon-EN6299,120.8,84,muy alto
Maipu-GR5123,51.9,81,muy alto
Maipu-GR5150,50.5,66,muy alto
Maipu-GR5034,46.2,65,muy alto
Maipu-GR5014,44.0,65,muy alto
Maipu-GR5085,39.7,53,muy alto
Maipu-GR5043,39.5,66,muy alto
Maipu-GR5054,37.6,64,muy alto
San Fernando-EN6235,36.7,68,muy alto
Maipu-GR5023,36.4,119,muy alto
Maipu-GR5085,34.8,66,muy alto
Maipu-GR5012,34.7,59,muy alto
Maipu-GR5017,33.8,56,muy alto
Maipu-GR5017,33.0,56,muy alto
Maipu-GR5130,32.8,55,muy alto
Maipu-EN6199,32.4,69,muy alto
Copiapo-GR5141,32.1,50,muy alto
Lenga-EN5849,32.1,62,muy alto
Maipu-GR5100,31.8,71,muy alto
Maipu-GR5054,31.7,56,muy alto
Maipu-GR5130,31.1,54,muy alto
San Fernando-GR5021,29.6,64,muy alto
Lenga-EN3989,29.2,63,muy alto
Maipu-GR5062,29.0,55,muy alto
Maipu-GR5017,28.8,51,muy alto
Lenga-EN5849,28.8,116,muy alto
Santiago-EN6500,27.8,181,muy alto
Los Angeles-EN6238,26.5,72,muy alto
Lenga-EN3989,25.3,51,muy alto
Punta Arenas-GR5055,25.2,98,muy alto
Iquique-EN3181,24.3,55,muy alto
Maipu-GR5023,24.0,56,muy alto
Antofagasta-GR5091,24.0,58,muy alto
Punta Arenas-GR5055,24.0,94,muy alto
Peñon-EN4587,23.7,85,muy alto
Peñon-EN5291,23.4,79,muy alto
Punta Arenas-GR5055,22.2,88,muy alto
Temuco-GR5049,20.7,52,muy alto
Talca-GR5134,20.0,53,muy alto
Santiago-EN6500,19.8,328,muy alto
Peñon-EN5952,18.9,71,muy alto
Antofagasta-EN3807,18.5,77,muy alto
Punta Arenas-GR5055,18.4,84,muy alto
Maipu-GR5027,18.2,51,muy alto
Santiago-EN6500,17.8,119,muy alto
Antofagasta-GR1636,17.8,73,muy alto
Lenga-EN3220,15.2,91,muy alto
Peñon-EN6246,14.9,53,muy alto
Antofagasta-EN3800,14.4,50,muy alto
Lenga-EN5859,13.9,58,muy alto
Santiago-EN5975,13.9,121,muy alto
Punta Arenas-GR5072,13.0,65,muy alto
Antofagasta-EN3807,13.0,53,muy alto
Lenga-EN3989,12.9,59,muy alto
Santiago-EN5975,12.1,57,muy alto
Lenga-EN3220,9.8,56,alto
Peñon-EN6299,7.0,53,medio
