Patente,raev100,dev,Riesgo
SWKT42,4.3,48,bajo
SYLR60,3.8,37,bajo
TJSZ85,3.8,37,bajo
TFYH20,3.5,36,bajo
TBGK50,3.5,43,bajo
TJPJ24,3.4,45,bajo
TCSV81,3.3,42,bajo
SHXC81,3.2,37,bajo
TBRS43,3.2,32,bajo
SCRW86,3.2,39,bajo
SRGS64,3.0,39,bajo
SDSW47,3.0,36,bajo
SZXB12,2.9,29,bajo
TCYZ29,2.9,37,bajo
SSBV29,2.9,32,bajo
SKPK78,2.8,27,bajo
TJRF23,2.8,32,bajo
TDCV27,2.7,9,bajo
TCLZ14,2.7,18,bajo
TFYH22,2.7,34,bajo
TJZC78,2.5,35,bajo
RPCJ35,2.5,33,bajo
SXSW78,2.5,28,bajo
TFFK63,2.4,28,bajo
TJYV60,2.4,16,bajo
TCYL61,2.4,24,bajo
SHXC82,2.4,23,bajo
SKPK71,2.3,23,bajo
SCRW85,2.3,32,bajo
TBGK52,2.3,31,bajo
PBGF90,2.2,26,bajo
SJFS45,2.2,21,bajo
SYLR61,2.2,32,bajo
TBRC90,2.2,31,bajo
TJPH87,2.1,25,bajo
SWSW95,2.1,24,bajo
SXCF12,2.1,25,bajo
RPCJ37,2.0,27,bajo
TJZC77,2.0,24,bajo
TDCV29,2.0,13,bajo
TBGK51,2.0,17,bajo
SXSW79,2.0,10,bajo
SZBK92,2.0,4,bajo
SRGS63,1.9,17,bajo
SWKV91,1.9,27,bajo
TBLK39,1.8,18,bajo
TCSW39,1.8,20,bajo
SHXC68,1.8,23,bajo
TFPB74,1.8,21,bajo
TBGK53,1.8,21,bajo
TJCC40,1.7,20,bajo
TFHH29,1.7,14,bajo
TFPD16,1.7,15,bajo
TCLY66,1.6,23,bajo
SJFS43,1.6,17,bajo
TBLK38,1.6,11,bajo
SKTL81,1.4,0,bajo
TBRS46,1.4,17,bajo
TBYZ89,1.4,14,bajo
TJPH86,1.4,11,bajo
TJCC39,1.3,17,bajo
