Date,Train-Raev100,Train-Riesgo
2024-01-29,2.2,bajo
2024-02-05,1.6,bajo
2024-02-12,2.0,bajo
2024-02-19,2.1,bajo
2024-02-26,2.0,bajo
2024-03-04,2.3,bajo
2024-03-11,2.3,bajo
2024-03-18,2.2,bajo
2024-03-25,2.3,bajo
2024-04-01,2.5,bajo
2024-04-08,2.8,bajo
2024-04-15,2.8,bajo
2024-04-22,1.9,bajo
2024-04-29,2.1,bajo
2024-05-06,2.1,bajo
2024-05-13,2.2,bajo
2024-05-20,21.8,muy alto
2024-05-27,8.3,alto
2024-06-03,6.5,medio
2024-06-10,5.1,bajo
2024-06-17,3.4,bajo
2024-06-24,2.6,bajo
2024-07-01,2.2,bajo
2024-07-08,2.0,bajo
2024-07-15,2.2,bajo
2024-07-22,2.0,bajo
2024-07-29,2.3,bajo
2024-08-05,2.2,bajo
2024-08-12,2.7,bajo
2024-08-19,3.0,bajo
2024-08-26,3.0,bajo
2024-09-02,2.8,bajo
2024-09-09,2.8,bajo
2024-09-16,2.8,bajo
