Date,Vía carrión-Raev100,Vía carrión-Riesgo
2024-01-29,1.1,bajo
2024-02-05,1.1,bajo
2024-02-12,0.8,bajo
2024-02-19,1.0,bajo
2024-02-26,1.1,bajo
2024-03-04,1.3,bajo
2024-03-11,1.3,bajo
2024-03-18,1.6,bajo
2024-03-25,1.3,bajo
2024-04-01,1.3,bajo
2024-04-08,1.9,bajo
2024-04-15,1.8,bajo
2024-04-22,1.5,bajo
2024-04-29,1.4,bajo
2024-05-06,1.5,bajo
2024-05-13,1.6,bajo
2024-05-20,5.4,bajo
2024-05-27,2.1,bajo
2024-06-03,2.7,bajo
2024-06-10,2.1,bajo
2024-06-17,2.0,bajo
2024-06-24,1.4,bajo
2024-07-01,1.5,bajo
2024-07-08,1.3,bajo
2024-07-15,1.6,bajo
2024-07-22,1.4,bajo
2024-07-29,1.4,bajo
2024-08-05,1.6,bajo
2024-08-12,1.3,bajo
2024-08-19,1.4,bajo
2024-08-26,1.4,bajo
2024-09-02,1.7,bajo
2024-09-09,1.4,bajo
2024-09-16,1.9,bajo
2024-09-23,2.7,bajo
2024-09-30,2.1,bajo
2024-10-07,1.8,bajo
2024-10-14,2.0,bajo
2024-10-21,1.7,bajo
2024-10-28,2.1,bajo
2024-11-04,2.1,bajo
2024-11-11,2.1,bajo
2024-11-18,1.9,bajo
2024-11-25,1.8,bajo
2024-12-02,2.3,bajo
2024-12-09,2.2,bajo
2024-12-16,2.0,bajo
2024-12-23,2.2,bajo
2024-12-30,2.1,bajo
2025-01-06,2.2,bajo
2025-01-13,2.3,bajo
2025-01-20,2.4,bajo
