Date,Total-Raev100,Total-Riesgo
2024-01-29,2.4,bajo
2024-02-05,2.0,bajo
2024-02-12,1.9,bajo
2024-02-19,2.0,bajo
2024-02-26,2.4,bajo
2024-03-04,2.4,bajo
2024-03-11,2.3,bajo
2024-03-18,2.5,bajo
2024-03-25,2.6,bajo
2024-04-01,2.7,bajo
2024-04-08,2.6,bajo
2024-04-15,2.5,bajo
2024-04-22,2.8,bajo
2024-04-29,2.5,bajo
2024-05-06,2.5,bajo
2024-05-13,2.4,bajo
2024-05-20,9.7,muy alto
2024-05-27,5.0,bajo
2024-06-03,4.8,bajo
2024-06-10,3.3,bajo
2024-06-17,3.3,bajo
2024-06-24,2.9,bajo
2024-07-01,2.8,bajo
2024-07-08,2.7,bajo
2024-07-15,2.8,bajo
2024-07-22,2.8,bajo
2024-07-29,2.8,bajo
2024-08-05,2.8,bajo
2024-08-12,2.7,bajo
2024-08-19,2.7,bajo
2024-08-26,2.8,bajo
2024-09-02,2.6,bajo
2024-09-09,2.4,bajo
2024-09-16,2.5,bajo
2024-09-23,2.7,bajo
2024-09-30,2.8,bajo
2024-10-07,2.7,bajo
2024-10-14,2.7,bajo
2024-10-21,2.7,bajo
2024-10-28,2.8,bajo
2024-11-04,3.0,bajo
2024-11-11,2.9,bajo
2024-11-18,2.5,bajo
2024-11-25,2.6,bajo
2024-12-02,2.8,bajo
2024-12-09,2.9,bajo
2024-12-16,2.7,bajo
2024-12-23,2.7,bajo
2024-12-30,2.7,bajo
2025-01-06,2.6,bajo
2025-01-13,2.4,bajo
2025-01-20,2.4,bajo
