Date,Total-Raev100,Total-Riesgo
2024-01-29,8.4,alto
2024-02-05,8.4,alto
2024-02-12,7.9,medio
2024-02-19,8.5,alto
2024-02-26,8.8,alto
2024-03-04,8.0,medio
2024-03-11,8.5,alto
2024-03-18,8.5,alto
2024-03-25,8.4,alto
2024-04-01,8.6,alto
2024-04-08,7.9,medio
2024-04-15,8.5,alto
2024-04-22,8.1,medio
2024-04-29,9.3,alto
2024-05-06,9.2,alto
2024-05-13,9.7,alto
2024-05-20,9.3,alto
2024-05-27,9.1,alto
2024-06-03,9.1,alto
2024-06-10,9.3,alto
2024-06-17,8.8,alto
2024-06-24,9.6,alto
2024-07-01,9.7,alto
2024-07-08,9.7,alto
2024-07-15,9.9,muy alto
2024-07-22,8.6,alto
2024-07-29,8.0,medio
2024-08-05,8.4,alto
2024-08-12,8.3,alto
2024-08-19,8.0,medio
2024-08-26,7.5,medio
2024-09-02,7.0,medio
2024-09-09,7.5,medio
2024-09-16,8.5,alto
2024-09-23,7.4,medio
2024-09-30,6.8,medio
2024-10-07,6.6,medio
2024-10-14,6.5,medio
2024-10-21,6.3,medio
2024-10-28,7.0,medio
2024-11-04,6.1,medio
2024-11-11,6.7,medio
2024-11-18,6.4,medio
2024-11-25,5.8,bajo
2024-12-02,5.9,bajo
2024-12-09,5.8,bajo
2024-12-16,5.8,bajo
2024-12-23,6.4,medio
2024-12-30,6.5,medio
2025-01-06,5.6,bajo
2025-01-13,6.0,bajo
2025-01-20,6.0,bajo
