Oficina,13 ene.,20 ene.,dev
Antofagasta,6.5,6.7,683
Arica,6.7,6.7,141
Chillan,2.6,8.7,183
Chiloe,5.5,3.2,232
Concon,5.5,4.8,1397
Copiapo,5.3,4.5,219
Coyhaique,1.7,2.9,118
Curico,2.0,2.2,22
Iquique,3.1,6.3,92
Lenga,7.1,6.2,2987
Linares,3.9,5.0,167
Los Angeles,4.3,4.2,337
Maipu,7.1,7.6,5097
Osorno,3.0,3.1,420
Peñon,4.2,5.4,1181
Puerto Montt,3.5,5.5,311
Punta Arenas,11.1,11.7,310
San Fernando,6.3,6.4,1140
Santiago,15.0,11.9,673
Talca,4.4,4.6,745
Temuco,6.0,6.4,1196
Valdivia,4.0,4.5,203
Villarrica,6.0,5.7,458
